NAME,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12
Hydro_fac SA-BRA-NW,58.8,80,80,80,80,56.1,34.2,22.8,19.8,19.3,22.1,30.4
Hydro_fac SA-BRA-SE,80,80,78.9,43.9,31.4,27.8,23.7,21.9,30.9,37.2,59.5,80
Hydro_fac SA-BRA-SO,71.9,74.8,62.4,64.3,75.8,78.2,77.7,73.4,78.5,78.9,68.3,66.5
Hydro_fac SA-BRA-WE,75.8,80,80,53.3,33.5,24.8,20.9,19.8,22.7,31.8,55.7,73.2
Hydro_fac SA-CHL,30.3,27.8,26.5,35,76.8,76.6,77.1,76.6,55.9,38.7,38.7,37.1
Hydro_fac SA-COL,11.5,17.1,22.8,61.1,71.6,68.8,61.2,67.4,69.3,70.7,55.3,27.2
Hydro_fac SA-ECU,45.2,59.8,65.3,65.3,65.3,54,42.1,25.3,26.2,60.3,65.3,55.5
Hydro_fac SA-GUY,69.4,58.6,55.4,69.4,69.4,69.4,31.1,15.4,7.9,6.9,16.7,49.9
Hydro_fac SA-PER,71.9,77.8,80,71,66.5,61.2,56.4,49.6,49.9,65.1,70.1,76
Hydro_fac SA-PRY,77.2,73.3,73.6,71.5,70.8,68.2,62.7,64.9,69.9,73.3,76.4,78.7
Hydro_fac SA-SUR,69.4,58.6,55.4,69.4,69.4,69.4,31.1,15.4,7.9,6.9,16.7,49.9
Hydro_fac SA-URY,48.8,60,37.9,61.9,62.1,61.7,62.1,46.4,50.8,49,46.7,36.5
Hydro_fac SA-VEN,40.6,38.5,39.1,58.3,75.7,80,80,80,74.8,69.6,69.4,53.1
