NAME,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12
Hydro_fac AS-CHN-SC,8.5,12.4,21.2,29.5,42,68.2,68.9,68.9,68.9,49.3,14.9,7.7
Hydro_fac AS-CHN-SD,6.9,12,12.9,14.2,17.3,68.9,68.9,68.9,68.9,34.2,16,9
Hydro_fac AS-CHN-SH,17.6,41.5,68.9,68.9,68.9,68.9,62.1,39.1,33.2,20.3,20,10.3
Hydro_fac AS-CHN-SI,6.9,13.6,25.5,26.3,44,58.3,68.9,68.9,68.9,68.3,20.1,7.5
Hydro_fac AS-CHN-SX,6.9,12.1,33.5,36.9,43.3,68.9,68.9,68.9,68.9,39.6,14.8,7.3
Hydro_fac AS-CHN-TI,6.9,7.3,10.9,24.1,45.8,68.9,68.9,68.9,68.9,24.7,8,6.9
Hydro_fac AS-CHN-TJ,6.9,10.4,36.1,37.6,34.9,68.9,68.9,68.9,68.9,35.9,15.9,7.3
Hydro_fac AS-CHN-WM,6.9,8.5,22,38.1,55.5,68.9,68.9,68.9,68.9,35.3,9.1,7
Hydro_fac AS-CHN-XI,8.9,11.1,29.9,67.7,67.6,68,67.9,40,31.2,30.2,17.3,8.7
Hydro_fac AS-CHN-YU,8.4,8.9,9.9,12.2,29.4,68.7,68.7,68.7,68.7,43.7,17.7,7.8
Hydro_fac AS-CHN-ZH,17.5,35.6,61.3,61.8,64.1,68.9,60.6,46.5,42.8,22.9,20.5,9.8
Hydro_fac AS-IDN,48.1,44.8,47.4,44.4,30.1,17.3,12,12.9,20.3,29,46.9,55.7
Hydro_fac AS-IND-EA,7.1,7.4,7.5,13,24.4,67.4,67.4,67.4,67.4,32.8,9.3,6.7
Hydro_fac AS-IND-NE,6.7,7.7,13.3,27.8,58.3,67.4,67.4,67.4,65.5,36.5,9.7,7.1
Hydro_fac AS-IND-NO,21.8,28.9,37.8,31.6,33.7,60.5,67.4,67.4,64.1,18,7.1,11.4
Hydro_fac AS-IND-SO,6.9,6.9,7.8,12,26.9,66.7,67.4,67.4,55.8,60.6,34.6,13.3
